"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1013","Невалидные значения суммы [1] 0.0","","Mon Dec 15 14:07:51 UTC 2025","passed","Mon Dec 15 14:07:52 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","userCannotDepositWithInvalidAmountTest"
"","1164","Перевод невалидной суммы [2] 0.0","","Mon Dec 15 14:07:38 UTC 2025","passed","Mon Dec 15 14:07:39 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","userCannotTransferWithInvalidAmountTest"
"","1213","Перевод на счет другого пользователя [4] 0.01","","Mon Dec 15 14:07:46 UTC 2025","passed","Mon Dec 15 14:07:47 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","transferToAnotherUsersAccountTest"
"","2001","Успешное пополнение баланса","","Mon Dec 15 14:08:27 UTC 2025","passed","Mon Dec 15 14:08:29 UTC 2025","","iteration2.ui.DepositMoneyTest","iteration2.ui.DepositMoneyTest","userCanDepositTest"
"","0","Успешное изменение имени","","Mon Dec 15 14:08:04 UTC 2025","skipped","Mon Dec 15 14:08:04 UTC 2025","","iteration2.ui.ChangeUsernameTest","iteration2.ui.ChangeUsernameTest","userCanChangeNameTest"
"","1012","Пополнение баланса (позитивные сценарии) [3] 20.5","","Mon Dec 15 14:07:59 UTC 2025","passed","Mon Dec 15 14:08:00 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","depositMoneyPositiveTest"
"","1154","Перевод невалидной суммы [3] -1.0","","Mon Dec 15 14:07:39 UTC 2025","passed","Mon Dec 15 14:07:40 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","userCannotTransferWithInvalidAmountTest"
"","3626","Невалидная сумма при переводе","","Mon Dec 15 14:08:11 UTC 2025","passed","Mon Dec 15 14:08:14 UTC 2025","","iteration2.ui.TransferMoneyTest","iteration2.ui.TransferMoneyTest","userCannotTransferWithInvalidAmountTest"
"","469","Изменение имени (некорректные имена) [8] Иван Иванов","","Mon Dec 15 14:07:26 UTC 2025","passed","Mon Dec 15 14:07:26 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNameNegativeTest"
"","487","Изменение имени (некорректные имена) [4] Ivan Perovich1","","Mon Dec 15 14:07:24 UTC 2025","passed","Mon Dec 15 14:07:24 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNameNegativeTest"
"","1216","Перевод на счет другого пользователя [5] 10000.0","","Mon Dec 15 14:07:47 UTC 2025","passed","Mon Dec 15 14:07:48 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","transferToAnotherUsersAccountTest"
"","964","Пополнение баланса неавторизованным пользователем","","Mon Dec 15 14:07:55 UTC 2025","passed","Mon Dec 15 14:07:56 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","unauthorizedUserCannotDepositTest"
"","960","Перевод с несуществующего счета","","Mon Dec 15 14:07:40 UTC 2025","passed","Mon Dec 15 14:07:41 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","userCannotTransferFromInvalidAccountTest"
"","3537","Успешный перевод","","Mon Dec 15 14:08:14 UTC 2025","passed","Mon Dec 15 14:08:18 UTC 2025","","iteration2.ui.TransferMoneyTest","iteration2.ui.TransferMoneyTest","userCanTransferMoneyTest"
"","1038","Пополнение баланса (позитивные сценарии) [5] 5000.0","","Mon Dec 15 14:08:01 UTC 2025","passed","Mon Dec 15 14:08:03 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","depositMoneyPositiveTest"
"","2078","Получение списка транзакций","","Mon Dec 15 14:08:18 UTC 2025","passed","Mon Dec 15 14:08:20 UTC 2025","","iteration2.ui.TransferMoneyTest","iteration2.ui.TransferMoneyTest","userCanGetListOfTransactions"
"","476","Изменение имени (некорректные имена) [10] ","","Mon Dec 15 14:07:27 UTC 2025","passed","Mon Dec 15 14:07:27 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNameNegativeTest"
"","498","Изменение имени (некорректные имена) [7] Ivan Petrovich.","","Mon Dec 15 14:07:25 UTC 2025","passed","Mon Dec 15 14:07:26 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNameNegativeTest"
"","2871","Изменение имени у администратора","","Mon Dec 15 14:07:17 UTC 2025","passed","Mon Dec 15 14:07:20 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","adminCannotChangeNameTest"
"","936","Получение информации о депозите","","Mon Dec 15 14:07:56 UTC 2025","passed","Mon Dec 15 14:07:57 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","getDepositInfoTest"
"","1852","Получение информации о транзакциях","","Mon Dec 15 14:07:27 UTC 2025","passed","Mon Dec 15 14:07:29 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","getTransactionsInfoTest"
"","494","Изменение имени (некорректные имена) [3] Ivan  Petrovich","","Mon Dec 15 14:07:23 UTC 2025","passed","Mon Dec 15 14:07:24 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNameNegativeTest"
"","1102","Перевод неавторизованным пользователем","","Mon Dec 15 14:07:36 UTC 2025","passed","Mon Dec 15 14:07:37 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","unauthorizedUserCannotTransferTest"
"","1699","Пополнение баланса на сумму, превышающую максимальную","","Mon Dec 15 14:08:25 UTC 2025","passed","Mon Dec 15 14:08:27 UTC 2025","","iteration2.ui.DepositMoneyTest","iteration2.ui.DepositMoneyTest","userCannotDepositGreaterThanAllowedAmountTest"
"","549","Изменение имени (позитивные сценарии) [2] petr ivanov","","Mon Dec 15 14:07:21 UTC 2025","passed","Mon Dec 15 14:07:22 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNamePositiveTest"
"","1004","Невалидные значения суммы [2] 5000.01","","Mon Dec 15 14:07:52 UTC 2025","passed","Mon Dec 15 14:07:53 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","userCannotDepositWithInvalidAmountTest"
"","1014","Пополнение чужого баланса","","Mon Dec 15 14:08:03 UTC 2025","passed","Mon Dec 15 14:08:04 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","userCannotDepositToAnotherAccountTest"
"","1602","Перевод между своими счетами [1] 100.0","","Mon Dec 15 14:07:29 UTC 2025","passed","Mon Dec 15 14:07:30 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","transferBetweenOwnAccountsTest"
"","1020","Невалидные значения суммы [3] -1.0","","Mon Dec 15 14:07:53 UTC 2025","passed","Mon Dec 15 14:07:54 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","userCannotDepositWithInvalidAmountTest"
"","3588","Установка невалидного имени","","Mon Dec 15 14:08:04 UTC 2025","passed","Mon Dec 15 14:08:07 UTC 2025","","iteration2.ui.ChangeUsernameTest","iteration2.ui.ChangeUsernameTest","userCannotChangeToInvalidNameTest"
