"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","489","Изменение имени (некорректные имена) [1] Ivan","","Sun Dec 14 18:31:42 UTC 2025","passed","Sun Dec 14 18:31:42 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNameNegativeTest"
"","450","Изменение имени (некорректные имена) [10] ","","Sun Dec 14 18:31:46 UTC 2025","passed","Sun Dec 14 18:31:47 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNameNegativeTest"
"","1127","Перевод невалидной суммы [2] 0.0","","Sun Dec 14 18:31:57 UTC 2025","passed","Sun Dec 14 18:31:58 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","userCannotTransferWithInvalidAmountTest"
"","3654","Успешный перевод","","Sun Dec 14 18:32:33 UTC 2025","passed","Sun Dec 14 18:32:37 UTC 2025","","iteration2.ui.TransferMoneyTest","iteration2.ui.TransferMoneyTest","userCanTransferMoneyTest"
"","480","Изменение имени (некорректные имена) [9]    ","","Sun Dec 14 18:31:46 UTC 2025","passed","Sun Dec 14 18:31:46 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNameNegativeTest"
"","954","Перевод с несуществующего счета","","Sun Dec 14 18:32:00 UTC 2025","passed","Sun Dec 14 18:32:01 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","userCannotTransferFromInvalidAccountTest"
"","483","Изменение имени (некорректные имена) [2] Ivan Petrovich Ivanov","","Sun Dec 14 18:31:42 UTC 2025","passed","Sun Dec 14 18:31:43 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNameNegativeTest"
"","1224","Перевод между своими счетами [4] 0.01","","Sun Dec 14 18:31:53 UTC 2025","passed","Sun Dec 14 18:31:54 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","transferBetweenOwnAccountsTest"
"","473","Изменение имени (некорректные имена) [6] Ivan-Petrovich","","Sun Dec 14 18:31:44 UTC 2025","passed","Sun Dec 14 18:31:45 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNameNegativeTest"
"","2142","Получение списка транзакций","","Sun Dec 14 18:32:37 UTC 2025","passed","Sun Dec 14 18:32:39 UTC 2025","","iteration2.ui.TransferMoneyTest","iteration2.ui.TransferMoneyTest","userCanGetListOfTransactions"
