"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3175","Не выбрано подтверждение корректности данных","","Mon Dec 15 14:27:31 UTC 2025","passed","Mon Dec 15 14:27:34 UTC 2025","","iteration2.ui.TransferMoneyTest","iteration2.ui.TransferMoneyTest","userCannotTransferWithoutConfirmationTest"
"","0","Успешное изменение имени","","Mon Dec 15 14:27:15 UTC 2025","skipped","Mon Dec 15 14:27:15 UTC 2025","","iteration2.ui.ChangeUsernameTest","iteration2.ui.ChangeUsernameTest","userCanChangeNameTest"
"","917","Получение информации о депозите","","Mon Dec 15 14:27:08 UTC 2025","passed","Mon Dec 15 14:27:09 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","getDepositInfoTest"
"","484","Изменение имени (некорректные имена) [3] Ivan  Petrovich","","Mon Dec 15 14:26:35 UTC 2025","passed","Mon Dec 15 14:26:35 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNameNegativeTest"
"","662","Изменение имени (позитивные сценарии) [1] Petr Ivanov","","Mon Dec 15 14:26:32 UTC 2025","passed","Mon Dec 15 14:26:33 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNamePositiveTest"
"","999","Пополнение баланса (позитивные сценарии) [1] 100.0","","Mon Dec 15 14:27:09 UTC 2025","passed","Mon Dec 15 14:27:10 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","depositMoneyPositiveTest"
"","486","Изменение имени (некорректные имена) [6] Ivan-Petrovich","","Mon Dec 15 14:26:36 UTC 2025","passed","Mon Dec 15 14:26:37 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNameNegativeTest"
"","993","Пополнение баланса (позитивные сценарии) [4] 0.01","","Mon Dec 15 14:27:12 UTC 2025","passed","Mon Dec 15 14:27:13 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","depositMoneyPositiveTest"
"","1010","Пополнение баланса (позитивные сценарии) [5] 5000.0","","Mon Dec 15 14:27:13 UTC 2025","passed","Mon Dec 15 14:27:14 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","depositMoneyPositiveTest"
"","1123","Перевод невалидной суммы [1] 50.01","","Mon Dec 15 14:26:48 UTC 2025","passed","Mon Dec 15 14:26:50 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","userCannotTransferWithInvalidAmountTest"
